ID,STATE,X,Y
2518,NY,-78.8415534,43.1270258
2520,NY,-76.8630471,42.6803108
2522,NY,-79.0153747,43.1560839
2523,NY,-78.6759627,43.2158889
2524,NY,-78.8767504,43.0341386
2525,NY,-76.5352171,42.4634352
2526,NY,-77.1249385,42.141392
2528,NY,-78.8655316,43.0810014
2529,NY,-78.5433336,42.937762
2530,NY,-76.5017523,42.4183886
2534,NY,-75.9672868,42.3287992
2535,NY,-76.0962228,42.0684766
2537,NY,-76.4250923,43.314224
2538,NY,-75.8855856,42.7573156
2539,NY,-76.4585745,42.4881688
2540,NY,-76.2974542,42.4937832
2541,NY,-77.8042925,43.1605141
2542,NY,-76.1480246,43.0424274
2543,NY,-77.4689007,43.1827151
2544,NY,-76.8939964,42.1662708
2545,NY,-77.8820422,43.1042122
2547,NY,-77.1369174,42.2228277
2548,NY,-77.4111378,42.0798015
2549,NY,-78.3871866,43.2188825
2550,NY,-78.4768382,43.2118885
2551,NY,-78.6288104,42.0264114
2552,NY,-78.7970273,42.2488711
2553,NY,-78.735194,42.3333308
2554,NY,-78.680858,42.1607213
2555,NY,-78.9495086,42.1714697
2556,NY,-75.8873307,42.3390425
2557,NY,-75.9444819,42.1181752
2558,NY,-76.0619754,42.1970794
2559,NY,-76.0120796,42.3534384
2560,NY,-76.0174606,42.4002609
2561,NY,-75.8838176,42.1494253
2562,NY,-76.0061686,42.2612536
2563,NY,-75.9917135,42.1892995
2564,NY,-75.9178081,42.2275815
2565,NY,-77.7672098,42.0381026
2566,NY,-77.9437716,42.118922
2567,NY,-78.0137546,42.4489054
2568,NY,-78.1359413,42.3652791
2569,NY,-78.2256822,42.2755604
2570,NY,-78.1338088,42.208418
2571,NY,-78.2730153,42.2183822
2572,NY,-76.9928498,43.0618585
2573,NY,-77.2755745,43.1377579
2574,NY,-76.986612,43.2701536
2575,NY,-77.1886763,43.1416299
2576,NY,-78.2415873,42.1281171
2577,NY,-78.0308319,42.2246289
2578,NY,-78.0595633,42.0127931
2579,NY,-78.0625574,42.0849798
2580,NY,-77.7600245,42.2684242
2581,NY,-77.3019301,43.0722316
2582,NY,-77.0793207,43.1141441
2583,NY,-76.2106535,42.5796282
2584,NY,-76.0532884,42.0865542
2586,NY,-75.9611087,42.122585
2587,NY,-77.8727309,42.7238525
2588,NY,-77.3644369,42.376322
2589,NY,-77.0565978,42.1627217
2590,NY,-77.4584598,42.4421963
2591,NY,-77.2070509,42.7046987
2592,NY,-76.5823719,42.3667167
2593,NY,-76.5128674,42.5397524
2594,NY,-76.5026404,42.4388533
2595,NY,-76.6319238,42.4377969
2596,NY,-76.4783444,42.4678426
2597,NY,-76.6677343,42.5440084
2598,NY,-77.6544896,42.3022587
2599,NY,-77.170946,42.5284444
2600,NY,-77.6281071,42.5395025
2601,NY,-77.6612657,42.3446191
2602,NY,-77.5082656,42.3639141
2603,NY,-77.2174075,42.4015901
2604,NY,-76.7614539,42.0835503
2605,NY,-76.8317439,42.1672444
2606,NY,-76.8891521,42.2045022
2607,NY,-76.8599439,42.0407382
2608,NY,-76.8076806,42.091556
2609,NY,-76.9328173,42.1413337
2610,NY,-77.0549638,42.6611091
2611,NY,-77.2725716,42.7044503
2612,NY,-76.9557324,42.6827738
2613,NY,-78.44437,42.7706846
2614,NY,-78.3136164,42.7619124
2615,NY,-76.367162,42.5905347
2616,NY,-76.5211479,42.0083322
2617,NY,-76.1933708,42.2080965
2618,NY,-76.2634117,42.1046504
2619,NY,-77.0306945,42.1405494
2620,NY,-77.0518182,42.1474524
2621,NY,-77.4982596,42.5008844
2622,NY,-77.4202207,42.4092454
2623,NY,-77.6942434,42.392489
2624,NY,-76.8590328,42.9027188
2625,NY,-76.7989149,42.9081146
2626,NY,-76.6997975,42.0880133
2627,NY,-79.1354988,42.5182128
2628,NY,-79.5776194,42.3233436
2629,NY,-79.1131629,42.5678991
2630,NY,-79.4737602,42.2654047
2631,NY,-79.4461346,42.2374774
2632,NY,-79.0999525,42.2935161
2633,NY,-78.4452006,42.6935878
2634,NY,-78.0835471,42.6603786
2635,NY,-78.3389122,42.6826614
2636,NY,-76.4924136,42.2111086
2637,NY,-76.7515264,42.902691
2638,NY,-76.8238064,42.6783707
2639,NY,-76.8454424,42.9616283
2640,NY,-76.7241792,42.6131736
2641,NY,-76.8091557,42.8210144
2642,NY,-76.9610585,42.8791565
2643,NY,-79.2834158,42.1074241
2644,NY,-79.3110338,42.3427119
2645,NY,-79.3741929,42.0942994
2646,NY,-76.4266601,42.7157406
2647,NY,-78.1336396,42.6408257
2648,NY,-78.0482462,42.6334522
2649,NY,-78.2533355,42.5797555
2650,NY,-78.3944734,42.8369743
2651,NY,-78.283256,42.8648014
2652,NY,-76.8691748,42.3829131
2653,NY,-76.8760267,42.5111217
2654,NY,-76.7863049,42.335853
2655,NY,-76.5704876,43.1688942
2656,NY,-76.7031552,42.758032
2661,NY,-77.075229,43.0199516
2662,NY,-78.3853362,43.2669137
2663,NY,-78.3882845,43.3257291
2664,NY,-78.0255316,43.2243846
2665,NY,-78.3248712,43.1699905
2666,NY,-77.608979,42.7965641
2667,NY,-77.7054198,42.9107987
2668,NY,-77.6994467,42.5617239
2671,NY,-77.1857253,43.2281154
2672,NY,-77.3460337,43.143824
2673,NY,-77.3750654,43.2223211
2674,NY,-77.0256634,43.2019998
2675,NY,-76.7663772,43.1313623
2676,NY,-76.0998273,43.8765794
2677,NY,-76.7207884,43.2544068
2678,NY,-77.1892984,43.2798751
2679,NY,-77.2920586,43.2226611
2680,NY,-77.0930874,43.0461175
2681,NY,-77.3209234,43.0962261
2682,NY,-77.3441279,43.1836956
2683,NY,-76.8694252,43.0826624
2684,NY,-75.9650549,44.1945062
2685,NY,-76.1350842,43.7327115
2686,NY,-78.775249,42.6853558
2687,NY,-78.5545128,42.9431617
2688,NY,-78.8397614,42.5869781
2689,NY,-78.8263198,42.9609082
2690,NY,-78.7523246,42.9039863
2691,NY,-76.0138558,42.0319759
2692,NY,-76.0769344,44.2341759
2693,NY,-78.8122368,42.9766892
2694,NY,-78.8958249,42.6521364
2695,NY,-78.6132942,42.7654042
2696,NY,-78.7971044,42.8749323
2697,NY,-78.8408467,42.9924152
2698,NY,-77.4100939,42.9815423
2699,NY,-77.0924139,42.8252938
2700,NY,-77.2202315,42.9552432
2701,NY,-77.0915507,42.8866221
2702,NY,-77.0674924,42.9564332
2703,NY,-76.0069644,43.8625373
2705,NY,-76.9944403,42.8897319
2706,NY,-77.1381227,42.8018433
2707,NY,-76.9825674,42.8688031
2708,NY,-77.3309608,43.0317858
2709,NY,-76.2145957,42.9312431
2710,NY,-76.2086641,43.0616027
2711,NY,-76.2186824,42.8649194
2712,NY,-76.1853716,43.0053958
2713,NY,-76.2075328,43.1428997
2714,NY,-76.0004396,43.077205
2715,NY,-76.3759203,43.0841602
2716,NY,-75.9513971,43.07182
2717,NY,-76.1406361,43.2357402
2718,NY,-76.292552,42.8849789
2719,NY,-75.8999089,44.00001
2720,NY,-76.9594785,42.5934212
